stride			跨过，进展
naked			无修饰的，直率的
suggest			提议，建议
correction		改正，修正
adjust			调整，适应
recommand		推荐
constitute		组成，构成
purpose			目的，用途
assignment		作业，分配
supplement		补充，增补
ration			定量，口粮，配给
divide			划分，分开
illegal			间谍，非法
token			记号，象征
privilege		特权，优待
express			快递，表达
notion			概念，见解，打算
architecture    建筑，架构
critical		鉴定的，临界的，评论的
toggle			开关，触发器，抓紧
abort			中止，夭折
prop			支柱，支撑，维持
tail			尾巴，尾部，辫子
edition			版本
occur			发生，出现，存在
consult			查阅，请教
expand			扩张，展开
associated		联系，关联
routine  		程序，日常的，例行的
actually		事实上，实际上
attention		注意，关心
predominate		支配，占主导地位
arrange			安排，排列
collaboration   合作，勾结
discuss			讨论
preview			预览
foundation      基础，基地
purchase		购买
condition		条件
forum			论坛
race			比赛
bet 			打赌
donate			捐赠
steel			钢
enemy			敌人
butter			黄油
swear			发誓,诅咒
farmer			农民
conquest		征服
opponent		对手
wink			瞬间，眨眼
studio			工作室，画室
element			元素
confuse			混乱，使困惑
dock			码头
fear			恐惧，害怕
press			按，压，新闻
grip			抓住，紧握
publish			发表
tutorial		教程,辅导
require			要求，需求
apply			应用，适用
detect			检测,察觉
detail			细节，详情
communtity		社区
traverse		遍历,通过
restrictionsn	限制，约束
feature			功能,特征
guarantee		保证，担保
critique		批评，评论
exist			存在
respect 		尊重
vital			至关重要的，生死攸关的
retrieve		检索，恢复，取回
ton	        	吨，很多，大量
advantage		优势，利益
fairly			相当的，公平的，简直
grasp			掌握，理解
skip			跳过，跳读
grave			坟墓，死亡，重大的
adapt			适应
modify			修改，更改
freak out		吓一跳
incorporate		合并，包含
odds 			几率，胜算
trouble			麻烦，故障，烦恼
Congratulation	祝贺
leap			飞跃，跳过
course			课程，科目，过程
focus			集中，专注
promise			承诺，许诺
scratch			刮伤，乱写，乱涂
force			力量，武力，强迫
missile			导弹，可发射的
issue			发行，发布，问题
adapt			适应，改编
diagnostic		诊断的，特征的
entire			整个，全部
whole			整个的，全部的
verify			验证，证实
strike			殴打，打击
algorithm		算法
relate			联系，符合，认同
matrix			矩阵，模型
